1 0 4562
2 4562 12683
3 17245 14452
4 31697 4199
5 35896 2242
6 38138 1181
7 39319 14427
8 53746 14086
9 67832 8226
10 76058 30432
11 106490 6906
12 113396 14727
13 128123 14454
14 142577 873
15 143450 559
16 144009 402
17 144411 10419
18 154830 18120
19 172950 22990
20 195940 3054
21 198994 15833
22 214827 35698
23 250525 27209
24 277734 19415
25 297149 11602
26 308751 6821
27 315572 3751
28 319323 9503
29 328826 9489
30 338315 3568
31 341883 30544
32 372427 26061
33 398488 20984
34 419472 8646
35 428118 10840
36 438958 5780
37 444738 6196
38 450934 7748
39 458682 57595
40 516277 5100
41 521377 6589
42 527966 2813
43 530779 5156
44 535935 37282
45 573217 33358
46 606575 8364
47 614939 11743
48 626682 3855
49 630537 8402
50 638939 5890
51 644829 12225
52 657054 5617
53 662671 16660
54 679331 8500
55 687831 11706
56 699537 20542
57 720079 9739
58 729818 18655
59 748473 2614
60 751087 13258
61 764345 11286
62 775631 7378
63 783009 24495
64 807504 24498
65 832002 7872
66 839874 12970
67 852844 16592
68 869436 21668
69 891104 109891
70 1000995 39027
71 1040022 51207
72 1091229 96966
73 1188195 144971
74 1333166 14753
75 1347919 35946
76 1383865 67211
77 1451076 4519
78 1455595 2517
79 1458112 2883
80 1460995 4317
81 1465312 8872
82 1474184 5689
83 1479873 484
84 1480357 3379
85 1483736 8658
86 1492394 2854
87 1495248 2538
88 1497786 4508
89 1502294 2082
90 1504376 2837
91 1507213 2188
92 1509401 1726
93 1511127 6796
94 1517923 3366
95 1521289 21201
96 1542490 5071
97 1547561 1714
98 1549275 7512
99 1556787 346
100 1557133 36587
101 1593720 6366
102 1600086 4663
103 1604749 5155
104 1609904 3060
105 1612964 2092
106 1615056 10763
107 1625819 2360
108 1628179 5483
109 1633662 7618
110 1641280 5839
111 1647119 6567
112 1653686 5724
113 1659410 7794
114 1667204 10300
115 1677504 11454
116 1688958 13513
117 1702471 11652
118 1714123 13353
119 1727476 1689
120 1729165 6312
121 1735477 4821
122 1740298 5779
123 1746077 19515
124 1765592 5871
125 1771463 6190
126 1777653 18603
127 1796256 15284
128 1811540 25230
129 1836770 17580
130 1854350 8756
131 1863106 14853
132 1877959 12583
133 1890542 7670
134 1898212 6023
135 1904235 3196
136 1907431 8312
137 1915743 6851
138 1922594 8456
139 1931050 6923
140 1937973 62231
141 2000204 27116
142 2027320 14548
143 2041868 3672
144 2045540 3807
145 2049347 3352
146 2052699 2599
147 2055298 33178
148 2088476 10985
149 2099461 4721
150 2104182 8620
151 2112802 17395
152 2130197 27376
153 2157573 6463
154 2164036 18480
155 2182516 8897
156 2191413 27050
157 2218463 23142
158 2241605 12299
159 2253904 3934
160 2257838 14360
161 2272198 13876
162 2286074 8478
163 2294552 16930
164 2311482 30306
165 2341788 9093
166 2350881 11301
167 2362182 4280
168 2366462 8698
169 2375160 7887
170 2383047 5618
171 2388665 6322
172 2394987 19133
173 2414120 10335
174 2424455 6005
175 2430460 4839
176 2435299 20612
177 2455911 9328
178 2465239 12633
179 2477872 15591
180 2493463 10681
181 2504144 7505
182 2511649 7393
183 2519042 35618
184 2554660 4656
185 2559316 8909
186 2568225 12087
187 2580312 4991
188 2585303 14491
189 2599794 7284
190 2607078 10283
191 2617361 32819
192 2650180 5962
193 2656142 6669
194 2662811 10664
195 2673475 18194
196 2691669 16583
197 2708252 18057
198 2726309 44362
199 2770671 37776
200 2808447 10915
201 2819362 10145
202 2829507 7993
203 2837500 15682
204 2853182 12287
205 2865469 6580
206 2872049 10185
207 2882234 20532
208 2902766 9086
209 2911852 10158
210 2922010 17892
211 2939902 11992
212 2951894 4846
213 2956740 8974
214 2965714 18234
215 2983948 7818
216 2991766 23988
217 3015754 18296
218 3034050 8213
219 3042263 4139
220 3046402 8451
221 3054853 9000
222 3063853 7190
223 3071043 11050
224 3082093 32256
225 3114349 65271
226 3179620 24786
227 3204406 5613
228 3210019 8755
229 3218774 4235
230 3223009 8610
231 3231619 7841
232 3239460 4870
233 3244330 19256
234 3263586 5357
235 3268943 5847
236 3274790 8499
237 3283289 7853
238 3291142 5782
239 3296924 29472
240 3326396 6704
241 3333100 1906
242 3335006 6533
243 3341539 9412
244 3350951 6546
245 3357497 20122
246 3377619 17235
247 3394854 2180
248 3397034 4244
249 3401278 2195
250 3403473 4708
